item_name,category,weight_g,qty,status,in_rucksack
Half Sleeved Base Layer,clothing,145,4,pending,all but one
Full Sleeved Base Layer,clothing,280,1,pending,yes
Thermals pair,clothing,420,1,pending,yes
Underwear,clothing,80,5,pending,yes
Woollen Socks,clothing,60,4,pending,all but one
Cotton Socks,clothing,38,3,pending,yes
Trousers,clothing,580,1,pending,yes
Joggers,clothing,225,4,pending,yes
Synthetic Shorts,clothing,190,1,pending,no
Fleece,clothing,320,1,pending,yes
Decathlon Quechua SH100 X-Warm,clothing,930,1,pending,yes
Boots,clothing,1482,1,pending,no
Ski Gloves,clothing,185,1,pending,yes
Woollen Gloves,clothing,57,1,pending,yes
Balaclava,clothing,78,1,pending,yes
Cap,clothing,85,1,pending,yes
Woollen Cap,clothing,100,1,pending,yes
Glasses/Sunglasses,clothing,31,1,pending,no
Arm Sleeves,clothing,31,2,pending,yes
Trekking Pole,technical,355,1,pending,no
Carabiner,technical,5,1,pending,yes
Phone,electronics,233,1,pending,no
Lens,electronics,65,1,pending,no
Powerbank (27000mAh),electronics,549,1,pending,yes
Head Torch,electronics,100,1,pending,yes
Wall socket and cables,electronics,75,1,pending,yes
Garmin Instinct 2X Solar,electronics,67,1,pending,no
Sunscreen,medical,31,1,pending,yes
Lip Balm,medical,15,1,pending,yes
Toothbrush & Toothpaste,medical,56,1,pending,yes
Sanitizer,medical,42,1,pending,yes
Toilet Paper,medical,55,1,pending,yes
Volini,medical,34,1,pending,yes
Water,food,1000,3,pending,yes
Glucovita bolts in container,food,167,1,pending,yes
Energy Gel,food,35,15,pending,yes
Rucksack,misc,1755,1,pending,yes
Hydration Bag,misc,120,1,pending,yes
Bottle,misc,135,1,pending,yes
Cup,misc,100,1,pending,yes
Tiffin & Spoon,misc,75,1,pending,yes
Packing Cubes,misc,95,6,pending,yes
Hand Towel,misc,43,1,pending,yes
Bin Bags,misc,5,1,pending,yes
Documents & Cash,misc,45,1,pending,yes
Deodorant,misc,70,1,pending,yes
Handkerchief,misc,20,7,pending,all but one
